<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
META.US,60,20220211,200000,223.02,223.47,220.31,220.59,4281652,0
META.US,60,20220211,210000,220.56,222.21,219.32,220.185,4362581,0
META.US,60,20220211,220000,220.24,221.44,218.77,219.55,9568068,0
META.US,60,20220214,160000,219.31,221,217.84,219.622,2643561,0
META.US,60,20220214,170000,219.59,219.605,216.71,218.23,3072287,0
META.US,60,20220214,180000,218.27,219.38,217.34,218.259,3380625,0
META.US,60,20220214,190000,218.26,219.697,217.779,218.24,2728384,0
META.US,60,20220214,200000,218.24,218.98,215.02,215.02,3622542,0
META.US,60,20220214,210000,215.02,217.82,214.78,217.25,3905628,0
META.US,60,20220214,220000,217.22,218.44,215.98,217.7,5803627,0
META.US,60,20220215,160000,220.47,221.14,217.66,218.56,2812650,0
META.US,60,20220215,170000,218.7,219.17,217.16,217.65,3954920,0
META.US,60,20220215,180000,217.66,218.19,216.41,217.425,4214831,0
META.US,60,20220215,190000,217.43,217.74,215.06,216.945,4603211,0
META.US,60,20220215,200000,216.96,219.05,216.38,218.67,3217637,0
META.US,60,20220215,210000,218.72,220.229,218.25,219.9,3963747,0
META.US,60,20220215,220000,219.9,221.15,219.1,221,6534907,0
META.US,60,20220216,160000,212.41,215.45,212.36,215.05,6340182,0
META.US,60,20220216,170000,215.01,217.46,214.5,215.848,6555946,0
META.US,60,20220216,180000,215.84,216.11,214.22,215.3,3229597,0
META.US,60,20220216,190000,215.31,215.68,213.9,214.74,2810402,0
META.US,60,20220216,200000,214.72,215,213.72,214,2616770,0
META.US,60,20220216,210000,214.02,215.74,213.37,215.46,3705783,0
META.US,60,20220216,220000,215.46,217.025,215.13,216.54,4571976,0
META.US,60,20220217,160000,214.02,217.24,213.76,216.91,2804333,0
META.US,60,20220217,170000,216.93,217.5,213.55,214.44,3900963,0
META.US,60,20220217,180000,214.42,215.67,214.16,214.44,2350533,0
META.US,60,20220217,190000,214.44,214.54,213.265,214.04,2164550,0
META.US,60,20220217,200000,214.05,214.234,211.8,212.15,3031696,0
META.US,60,20220217,210000,212.18,212.19,210.01,210.05,4035883,0
META.US,60,20220217,220000,210.05,210.06,207.16,207.73,8478533,0
META.US,60,20220218,160000,209.39,210.75,206.66,209.32,3861143,0
META.US,60,20220218,170000,209.33,209.82,207.08,207.28,3715866,0
META.US,60,20220218,180000,207.22,207.85,205.51,205.94,3429777,0
META.US,60,20220218,190000,205.9,207.96,205.85,206.54,2877999,0
META.US,60,20220218,200000,206.54,207.68,205.97,206.825,2349766,0
META.US,60,20220218,210000,206.84,208.86,206.403,207.833,3006659,0
META.US,60,20220218,220000,207.815,208.325,205.18,206.16,5351757,0
META.US,60,20220222,160000,202.34,207.01,201.56,205.13,4349926,0
META.US,60,20220222,170000,205.135,207.48,203.11,203.38,4996288,0
META.US,60,20220222,180000,203.39,203.68,201.45,202.08,3387768,0
META.US,60,20220222,190000,202.11,203.06,201.73,201.915,2398764,0
META.US,60,20220222,200000,201.94,202.91,200.57,200.99,2444079,0
META.US,60,20220222,210000,200.98,203.87,200.06,203.27,3929728,0
META.US,60,20220222,220000,203.29,204.809,201.06,202.08,5477549,0
META.US,60,20220223,160000,204.16,206.94,203.68,204.41,3430252,0
META.US,60,20220223,170000,204.42,204.59,201.07,201.525,3967938,0
META.US,60,20220223,180000,201.51,202.68,200.54,202.21,3903518,0
META.US,60,20220223,190000,202.19,203.94,201.45,201.57,3471059,0
META.US,60,20220223,200000,201.585,201.98,200.27,201.515,3437917,0
META.US,60,20220223,210000,201.5,202.18,199.51,199.856,5109116,0
META.US,60,20220223,220000,199.84,200.36,198.05,198.43,6560619,0
META.US,60,20220224,160000,191.06,196.109,190.22,195.688,3477405,0
META.US,60,20220224,170000,195.7,197.56,193.95,196.59,4622005,0
META.US,60,20220224,180000,196.607,199.27,196.21,199.171,3741827,0
META.US,60,20220224,190000,199.18,200.95,197.81,199.445,5401499,0
META.US,60,20220224,200000,199.44,203.203,198.82,201.49,3872946,0
META.US,60,20220224,210000,201.5,204.61,200.33,204.34,4049167,0
META.US,60,20220224,220000,204.33,208.35,203.93,207.53,8612940,0
META.US,60,20220225,160000,204.94,208.49,203.18,206.22,3503048,0
META.US,60,20220225,170000,206.25,210.52,205.8,209.7,4808245,0
META.US,60,20220225,180000,209.67,211.32,208.94,210.095,3658079,0
META.US,60,20220225,190000,210.12,210.42,207.161,207.69,3039813,0
META.US,60,20220225,200000,207.631,208.19,206.5,207.864,2724263,0
META.US,60,20220225,210000,207.915,209.47,207.4,208.91,2619204,0
META.US,60,20220225,220000,208.84,210.61,208.355,210.48,4585624,0
META.US,60,20220228,160000,207.675,209,206.83,207.97,2024074,0
META.US,60,20220228,170000,207.95,212.936,207.107,212.255,4402953,0
META.US,60,20220228,180000,212.27,213.151,210.91,211.4,3157577,0
META.US,60,20220228,190000,211.35,211.48,208.07,208.85,2164144,0
META.US,60,20220228,200000,208.83,209.69,207.96,209.14,1766794,0
META.US,60,20220228,210000,209.08,209.11,206.93,208.255,2285655,0
META.US,60,20220228,220000,208.2,211.24,207.11,211.03,7143759,0
META.US,60,20220301,160000,209.87,211.752,209.15,209.68,1685023,0
META.US,60,20220301,170000,209.82,210.985,208.29,208.47,2136943,0
META.US,60,20220301,180000,208.45,209.32,206.19,206.417,2456506,0
META.US,60,20220301,190000,206.36,207.41,205.75,207.27,2392097,0
META.US,60,20220301,200000,207.23,207.71,204.93,205.386,1672850,0
META.US,60,20220301,210000,205.41,206,204.441,204.725,1815503,0
META.US,60,20220301,220000,204.74,206.42,202.22,203.49,2325003,0
META.US,60,20220302,160000,204.62,205.2,202.69,203.53,1187606,0
META.US,60,20220302,170000,203.55,204.66,202.02,203.12,1884195,0
META.US,60,20220302,180000,203.2,206.15,202.86,206.12,1921073,0
META.US,60,20220302,190000,206.1,207.39,205.675,206.117,2216018,0
META.US,60,20220302,200000,206.17,207.76,206.11,207.21,2701528,0
META.US,60,20220302,210000,207.24,208.03,206.83,207.48,2463754,0
META.US,60,20220302,220000,207.46,209.15,207.44,208.11,5815567,0
META.US,60,20220303,160000,209.015,209.08,207.365,208.425,2040280,0
META.US,60,20220303,170000,208.46,208.65,204.01,204.06,2978270,0
META.US,60,20220303,180000,204.03,206.34,204.02,205.41,2643657,0
META.US,60,20220303,190000,205.395,206.835,203.87,205.52,1749741,0
META.US,60,20220303,200000,205.47,206,203.64,203.78,2083950,0
META.US,60,20220303,210000,203.76,204.8,203.31,203.881,2331322,0
META.US,60,20220303,220000,203.846,203.86,201.42,202.97,5464901,0
META.US,60,20220304,160000,202.37,205.89,201.01,202.09,2012222,0
META.US,60,20220304,170000,202.01,202.56,199.87,199.965,2024168,0
META.US,60,20220304,180000,199.99,200.83,199.14,200.26,2547557,0
META.US,60,20220304,190000,200.26,202,199.96,200.75,2723504,0
META.US,60,20220304,200000,200.739,201.56,199.17,199.36,2982456,0
META.US,60,20220304,210000,199.415,200.46,198.79,199.25,3722037,0
META.US,60,20220304,220000,199.23,200.49,198.95,200.11,4816220,0
META.US,60,20220307,160000,200.79,200.89,194.36,194.647,2443497,0
META.US,60,20220307,170000,194.58,194.66,190.78,191.38,4766629,0
META.US,60,20220307,180000,191.38,193.01,190.7,190.81,2960139,0
META.US,60,20220307,190000,190.79,191.32,189.05,190.17,3960316,0
META.US,60,20220307,200000,190.17,191.14,189.14,189.98,2630767,0
META.US,60,20220307,210000,189.94,191.26,189.21,189.35,2027805,0
META.US,60,20220307,220000,189.44,189.65,187.28,187.47,4148108,0
META.US,60,20220308,160000,187.85,190.88,186.11,188.26,2341158,0
META.US,60,20220308,170000,188.21,191.59,186.49,190.925,3419554,0
META.US,60,20220308,180000,191.01,192.65,188.995,192.24,3081482,0
META.US,60,20220308,190000,192.245,196.3,191.91,196.202,4569489,0
META.US,60,20220308,200000,196.206,196.7,192.68,192.81,2634732,0
META.US,60,20220308,210000,192.82,194.015,191.71,192.72,2060002,0
META.US,60,20220308,220000,192.76,194.04,190.14,190.29,4674642,0
META.US,60,20220309,160000,195.74,196.74,193.92,195.949,2148496,0
META.US,60,20220309,170000,195.89,197.86,195.43,197.46,4092105,0
META.US,60,20220309,180000,197.49,198.25,195.91,198.001,3239146,0
META.US,60,20220309,190000,198,198.55,196.105,196.19,2500100,0
META.US,60,20220309,200000,196.2,197.26,195.45,195.69,2473800,0
META.US,60,20220309,210000,195.68,197.24,195.01,196.95,2117545,0
META.US,60,20220309,220000,196.985,199.1,196.92,198.5,5368933,0
META.US,60,20220310,160000,194.84,195.6,193.26,195.075,1717277,0
META.US,60,20220310,170000,195.01,195.65,191.549,191.84,2328706,0
META.US,60,20220310,180000,191.82,192.84,191.068,192.773,1643459,0
META.US,60,20220310,190000,192.769,193.97,192.23,192.45,1451262,0
META.US,60,20220310,200000,192.43,195.22,192.19,194.085,1812848,0
META.US,60,20220310,210000,194.08,195.08,193.41,194.533,2021951,0
META.US,60,20220310,220000,194.587,196.28,193.7,195.21,4308673,0
META.US,60,20220311,160000,192.635,193.56,187.12,187.285,3494909,0
META.US,60,20220311,170000,187.31,191.25,186.67,190.955,4930584,0
META.US,60,20220311,180000,190.94,190.98,187.86,188.02,2573888,0
META.US,60,20220311,190000,188.01,189.84,187.8,189.675,1908831,0
META.US,60,20220311,200000,189.67,190.92,189.14,189.21,1956156,0
META.US,60,20220311,210000,189.21,191.13,189.02,190,2277236,0
META.US,60,20220311,220000,190.003,190.18,187.39,187.61,5468713,0
META.US,60,20220314,150000,187.03,192.043,187,189.233,2504395,0
META.US,60,20220314,160000,189.15,192.27,188.64,190.85,2794282,0
META.US,60,20220314,170000,190.88,190.97,187.32,187.53,2156040,0
META.US,60,20220314,180000,187.5,188.5,186.83,187.52,2414495,0
META.US,60,20220314,190000,187.53,187.71,185.82,186.74,2891157,0
META.US,60,20220314,200000,186.75,189.34,186.695,189.05,2615536,0
META.US,60,20220314,210000,189.045,189.88,186.25,186.63,5346639,0
META.US,60,20220315,150000,190.8,190.9,187.19,187.862,2304239,0
META.US,60,20220315,160000,187.871,189.49,186.51,188.69,2737303,0
META.US,60,20220315,170000,188.71,190.31,187.1,187.385,2996450,0
META.US,60,20220315,180000,187.34,188.21,186.56,187.38,1654781,0
META.US,60,20220315,190000,187.362,187.75,185.911,187.485,2112024,0
META.US,60,20220315,200000,187.41,189.99,186.81,189.625,2383495,0
META.US,60,20220315,210000,189.61,192.28,189.425,192.03,7393902,0
META.US,60,20220316,150000,194.7,197.45,194.52,197.056,3014011,0
META.US,60,20220316,160000,197.1,201.01,196.56,200.87,3823191,0
META.US,60,20220316,170000,200.825,201.99,199.88,200.08,2623908,0
META.US,60,20220316,180000,200.09,200.44,198.12,198.829,2708059,0
META.US,60,20220316,190000,198.82,199.91,198.569,199.595,1716361,0
META.US,60,20220316,200000,199.5,200.6,195.14,199.525,4507052,0
META.US,60,20220316,210000,199.54,203.73,198.79,203.63,6315042,0
META.US,60,20220317,150000,201.7,204.62,201.11,204.48,2498581,0
META.US,60,20220317,160000,204.485,205.47,203.02,203.27,3984036,0
META.US,60,20220317,170000,203.225,205.18,202.32,204.075,2565989,0
META.US,60,20220317,180000,204.09,205.29,203.81,205.24,1643747,0
META.US,60,20220317,190000,205.23,206.39,204.37,206.05,1962411,0
META.US,60,20220317,200000,206.02,206.37,205.22,205.87,1793860,0
META.US,60,20220317,210000,205.85,208.04,205.52,207.84,5824357,0
META.US,60,20220318,150000,206.7,209.81,206,209.65,4481615,0
META.US,60,20220318,160000,209.61,213.11,209.61,212.675,5224731,0
META.US,60,20220318,170000,212.685,213.135,211.56,212.01,2770047,0
META.US,60,20220318,180000,212.01,214.56,211.76,214.323,2906203,0
META.US,60,20220318,190000,214.33,215.16,213.68,214.27,2212920,0
META.US,60,20220318,200000,214.29,214.47,213.03,214.3,2307926,0
